date,cha01
1/31/2013,1.5
2/28/2013,2.3
3/31/2013,2.7
4/30/2013,1.6
5/31/2013,2.2
6/30/2013,2.6
7/31/2013,22.1
8/31/2013,14.4
9/30/2013,3.7
10/31/2013,2.8
11/30/2013,1.9
12/31/2013,1.8
1/31/2014,-999
2/28/2014,-999
3/31/2014,0.3
4/30/2014,0.6
5/31/2014,0.9
6/30/2014,4
7/31/2014,8.7
8/31/2014,16.4
9/30/2014,5
10/31/2014,2.1
11/30/2014,0.9
12/31/2014,0.9
1/31/2015,0.6
2/28/2015,0.5
3/31/2015,0.5
4/30/2015,0.9
5/31/2015,0.5
6/30/2015,1.9
7/31/2015,2.3
8/31/2015,1.6
9/30/2015,1
10/31/2015,1.6
11/30/2015,0.4
12/31/2015,0.5
1/31/2016,0.4
2/29/2016,0.4
3/31/2016,0.8
4/30/2016,0.6
5/31/2016,1
6/30/2016,2
7/31/2016,8.8
8/31/2016,1.5
9/30/2016,2.9
10/31/2016,2.7
11/30/2016,0.5
12/31/2016,0.4
1/31/2017,0.4
2/28/2017,0.4
3/31/2017,0.4
4/30/2017,0.4
5/31/2017,0.3
6/30/2017,1.5
7/31/2017,8.1
8/31/2017,7.8
9/30/2017,4.4
10/31/2017,1.4
11/30/2017,0.4
12/31/2017,0.3
1/31/2018,0.4
2/28/2018,0.3
3/31/2018,1.1
4/30/2018,2.2
5/31/2018,1.6
6/30/2018,6.8
7/31/2018,7.5
8/31/2018,16.1
9/30/2018,9.8
10/31/2018,3
11/30/2018,1.3
12/31/2018,0.4
1/31/2019,0.4
2/28/2019,0.4
3/31/2019,0.4
4/30/2019,0.8
5/31/2019,1.6
6/30/2019,2.9
7/31/2019,7.2
8/31/2019,3.6
9/30/2019,5.1
10/31/2019,7
11/30/2019,1.5
12/31/2019,0.5
1/31/2020,1.2
2/29/2020,0.6
3/31/2020,0.5
4/30/2020,0.4
5/31/2020,0.5
6/30/2020,4.5
7/31/2020,27.3
8/31/2020,43
9/30/2020,7.3
10/31/2020,1.1
11/30/2020,1
12/31/2020,0.4
1/31/2021,0.5
2/28/2021,0.5
3/31/2021,0.5
4/30/2021,0.4
5/31/2021,-999
6/30/2021,-999
7/31/2021,-999
8/31/2021,8.1
9/30/2021,2
10/31/2021,0.5
11/30/2021,0.5
12/31/2021,0.5
1/31/2022,0.3
2/28/2022,0.2
3/31/2022,-999
4/30/2022,-999
5/31/2022,0.62
6/30/2022,5.6
7/31/2022,1
8/31/2022,3
9/30/2022,1.1
10/31/2022,0.7
11/30/2022,0.9
12/31/2022,0.6
1/31/2023,0.7
2/28/2023,0.7
3/31/2023,0.6
4/30/2023,0.8
5/31/2023,4
6/30/2023,7.8
7/31/2023,27.5
8/31/2023,7.9
9/30/2023,5.3
10/31/2023,1.6
11/30/2023,1.5
12/31/2023,-999
